Country,Province,Canopy Threshold %,Total Area ha,Tree Cover 2000 ha,Tree Cover 2010 ha,Tree Cover Gain 2000-2012 ha,Tree Loss ha 2001,Tree Loss ha 2002,Tree Loss ha 2003,Tree Loss ha 2004,Tree Loss ha 2005,Tree Loss ha 2006,Tree Loss ha 2007,Tree Loss ha 2008,Tree Loss ha 2009,Tree Loss ha 2010,Tree Loss ha 2011,Tree Loss ha 2012,Tree Loss ha 2013,Tree Loss ha 2014,Tree Loss ha 2015,Tree Loss ha 2016,Tree Loss ha 2017,Tree Loss ha 2018,Tree Loss ha 2019,Tree Loss ha 2020,Tree Loss ha 2021,Tree Loss ha 2022,Tree Loss ha 2023,Tree Loss ha 2024
Indonesia,Aceh,30,5683650,4984708,4879169,129164,18278,10952,11816,19138,26479,21284,24168,36734,69111,40757,47485,49396,41390,58555,33969,50074,45813,46111,28562,30225,31786,29785,38983,46071
Indonesia,Bali,30,559070,365485,389702,4012,424,311,179,370,236,515,504,229,377,198,216,743,396,907,133,156,263,302,706,165,199,262,558,168
Indonesia,Bangka Belitung,30,1675803,1332845,1255814,93386,13910,11247,7124,21976,19839,20241,23237,22678,63896,23187,32400,39451,17575,41246,41281,58203,25558,22426,25529,24628,31006,34052,50388,31059
Indonesia,Banten,30,935212,561723,536388,10710,1054,1761,293,1404,545,1938,1060,930,2754,1633,2329,3286,1830,2275,2663,1969,3495,3401,4715,2042,1915,1546,3744,3256
Indonesia,Bengkulu,30,1981482,1795200,1788505,66292,14198,10421,8104,25985,13142,23589,17580,22353,18756,16012,24563,27761,14153,20320,20197,24378,27232,24624,18200,16311,14326,23800,29912,20998
Indonesia,Gorontalo,30,1204170,1002909,977902,6432,3499,8013,2806,6949,4241,5250,4329,1794,11263,1570,2979,3927,5938,10353,13286,10910,7869,8007,10959,3030,2199,2819,8242,4643
Indonesia,Jakarta Raya,30,65340,1302,1551,1076,4,0,0,1,0,4,2,2,0,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0
Indonesia,Jambi,30,4896326,4484184,4373114,204409,46911,45074,21497,97086,71003,119577,118972,124204,125511,36678,48905,152388,66707,77432,60611,157246,86203,69978,67673,78387,73131,75657,93816,91324
Indonesia,Jawa Barat,30,3705869,2007190,1962239,38744,6798,3851,1979,3659,2327,5244,3055,5116,2886,2632,5421,3753,2565,3758,3502,3657,5646,4509,6974,3459,2568,2575,5561,4421
Indonesia,Jawa Tengah,30,3443699,1507023,1453236,30174,2676,1899,791,3568,1703,3474,2898,2657,3054,1323,4500,2450,1180,2883,1808,2285,3457,2573,2769,2752,2109,2085,4726,2774
Indonesia,Jawa Timur,30,4799588,1917062,1964762,37376,4227,4052,2910,6465,2820,5746,4430,3993,4277,1648,5849,8314,2754,6771,2901,3188,4713,4290,5112,4919,3520,2918,6319,4505
Indonesia,Kalimantan Barat,30,14687396,13640399,13087716,501434,77940,96866,55967,113923,104566,130920,132081,202683,288604,152522,262481,312530,199514,291474,267806,286374,181330,159317,143107,121935,109033,137501,206711,173923
Indonesia,Kalimantan Selatan,30,3737249,2818008,2781604,262789,18967,24324,18403,41871,25392,54016,29584,18696,60466,26199,48257,66809,35960,66373,73379,65747,37465,37578,44331,21000,21668,17769,51434,27839
Indonesia,Kalimantan Tengah,30,15371159,14220881,13853651,619162,64076,102874,129122,169837,158552,221893,291717,204626,194376,142342,139335,218881,103285,197213,213840,492975,102894,110369,122143,90490,53159,72734,144866,118639
Indonesia,Kalimantan Timur,30,12585065,11718039,11239771,276765,45977,57425,36975,71496,66742,128253,121912,105149,211515,107241,182064,255656,147487,211485,183872,313958,134297,147742,132059,91821,74061,61563,134307,110376
Indonesia,Kalimantan Utara,30,7012553,6837686,6724104,30823,27060,23604,16648,36334,23948,24116,30813,39795,51702,29944,41756,60396,31842,59037,47844,38488,33775,36813,29326,24481,19260,17636,26441,19954
Indonesia,Kepulauan Riau,30,827637,689780,666857,20169,1719,5529,1775,4533,8092,5433,2688,8706,5234,4797,6945,9375,4763,19231,5869,13058,7993,6266,8888,8779,4391,2845,3343,2623
Indonesia,Lampung,30,3348719,1783131,1728342,165767,10335,9346,4981,10520,9319,14046,15584,16173,23141,14090,16755,30337,5150,11365,14132,16242,11761,10337,13177,9472,7605,7023,21635,12943
Indonesia,Maluku,30,4634756,4147416,4140188,19012,4540,14596,4307,7367,5605,12417,4456,2934,13425,4397,9380,11375,4668,15224,48979,27623,7333,11187,17179,5660,3727,5059,14304,5198
Indonesia,Maluku Utara,30,3150849,3073260,3058394,7723,7354,23402,10039,12043,6418,16112,5353,4956,13474,6067,5746,9010,6781,17979,45451,26859,10589,12375,14166,7423,6041,6358,11895,7303
Indonesia,Nusa Tenggara Barat,30,1967050,1134688,1168565,11369,2882,2675,1719,4554,2035,2486,1993,2735,1952,1146,2327,3118,1540,7148,4435,4028,6195,8144,8705,6598,4816,5616,9928,6153
Indonesia,Nusa Tenggara Timur,30,4644369,2298069,2190811,31755,4725,4608,3848,4686,5052,6987,5033,4451,5917,1779,7816,4649,2105,9175,7422,7367,10350,5184,7794,6516,9791,7000,8807,6484
Indonesia,Papua,30,31378136,29567782,29724325,148114,12589,20479,11731,19129,14728,21300,21135,15555,23129,25679,23157,46692,38013,58753,82032,83052,49615,34778,34560,29911,26341,28605,22967,22586
Indonesia,Papua Barat,30,9852259,9456462,9420124,20656,6078,14749,7247,12226,7085,11049,6648,7890,14431,11693,11549,13560,7906,17905,42462,26815,15891,20511,16558,16318,12209,13752,16565,12150
Indonesia,Riau,30,8988032,7848784,7646462,847460,156510,154561,57204,270588,355413,202107,211991,204516,247897,341923,255307,346655,156345,282785,90762,147085,123675,101107,102819,94605,95679,86882,115270,100670
Indonesia,Sulawesi Barat,30,1657135,1513864,1478639,23849,16400,12107,6885,15736,9396,11481,4152,12540,11858,7196,13855,13555,8072,14213,14055,13677,12564,12974,13036,8513,9848,10043,14697,8456
Indonesia,Sulawesi Selatan,30,4547457,3038092,3012289,31710,8487,12727,5984,17831,8573,13891,9525,8126,23379,8401,14390,16130,9008,21475,28080,30886,24051,19442,22925,14268,10243,15943,26949,9599
Indonesia,Sulawesi Tengah,30,6115641,5659031,5588918,39521,17547,33169,20131,40160,18074,30635,20347,16733,52427,21980,26195,37172,28515,46762,91932,74262,36947,37525,45513,26788,22583,24645,43093,28744
Indonesia,Sulawesi Tenggara,30,3663093,3163838,3151224,47717,15947,15851,13418,41603,16418,44384,9984,8700,30091,7630,22949,23041,15485,39717,43540,38445,27135,24214,34956,18920,12405,13369,34164,16908
Indonesia,Sulawesi Utara,30,1450713,1305508,1287301,4054,4520,7683,2910,6841,3473,4894,4278,1609,6999,2037,3116,2671,1715,6875,15596,8782,5777,7455,8921,3124,2824,2731,5793,3474
Indonesia,Sumatera Barat,30,4214586,3810773,3732176,107826,15016,15384,9833,26547,29284,32715,31672,34037,40537,22960,42570,36511,22433,30560,22500,39172,51512,37400,30977,30395,35801,35602,35180,32209
Indonesia,Sumatera Selatan,30,8699118,7037599,6740751,649459,59014,65958,30693,102154,87403,170369,173988,189246,201438,120180,132284,361299,100948,159552,169040,275754,124661,125458,102590,108366,77866,87810,139240,120445
Indonesia,Sumatera Utara,30,7222708,5784850,5672149,391383,54337,39735,37482,72385,74515,66724,52432,65671,121059,93338,100568,89313,53252,85505,53040,79282,74551,66196,51889,50234,59204,49218,65335,64259
Indonesia,Yogyakarta,30,317689,133245,116148,1836,83,33,8,70,15,61,18,28,25,143,173,55,27,59,42,67,108,140,69,56,71,36,107,108
